gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
100612561,NSPTRG00000046881,0.388273,0.712531,0.320585,0.518659,0.0596886
745515,NSPTRG00000046886,0.128651,0,9.56006,4.64003,1.06797
741017,NSPTRG00000046890,17.46482,23.6408,93.2987,163.172,54.5085
451994,NSPTRG00000046892,9.17227,16.21018,40.13564,72.1721,39.82926
750878,NSPTRG00000046893,3.55992,1.74869,0.0805723,0.065251,0
738115,NSPTRG00000046894,0.746742,0.711298,2.6971,3.3735,1.90581
107974146,NSPTRG00000046897,1.18496,0.786333,2.06378,1.40975,4.64513
462120,NSPTRG00000046901,103.768952,71.2949,122.43075,100.734017,83.530023
738256,NSPTRG00000046906,0,0,0,0,0
738544,NSPTRG00000046909,9.68421,1.82366,28.7094,26.7641,15.4745
457704,NSPTRG00000046911,0.501424,0.697717,1.79935,1.30097,0.011859
101057353,NSPTRG00000046912,0,0,0,0,0
463622,NSPTRG00000046924,0,0,0,0.655489,0
450798,NSPTRG00000046925,0,0,1.22542,0.699726,0
748513,NSPTRG00000046932,0,0,0,0,0
746767,NSPTRG00000046939,73.07784,37.95468,63.58368,27.9566,44.09095
470526,NSPTRG00000046940,11.9505,10.6654,33.9402,27.3136,24.9642
462438,NSPTRG00000046942,24.29626,26.147937,7.94811,9.48301,0.468804
107971619,NSPTRG00000046946,0,2.06E-09,0,2.94782,0
735816,NSPTRG00000046949,1.16439,1.5211,1.61219,3.20664,0.327775
465254,NSPTRG00000046951,2.724854,1.482235115,9.040457,6.790191,3.34033
107971978,NSPTRG00000046961,0,0,0.463002,0.441214,0
750632,NSPTRG00000046966,0.394402,0.473449,0.591303,1.66372,0.0191466
456930,NSPTRG00000046970,0.594387,0,5.15305,3.37445,0
104002844,NSPTRG00000046977,0.641961,0.239708,1.96115,2.62443,0.484869
101057790,NSPTRG00000046978,17.763586,18.860389,40.084651,58.06967,18.02340026
748998,NSPTRG00000046983,0.227651,0.0596813,0.112984,0.0760246,0.378652
464236,NSPTRG00000046987,125.63145,134.66412,126.0494,113.94873,140.90739
467240,NSPTRG00000046989,0.622882,1.79625,0.128573,0,0.0957546
100612233,NSPTRG00000046991,0,0,0,0,0
469763,NSPTRG00000046995,0,0,0,0,0
467124,NSPTRG00000047007,4.594775302,4.094154,7.629117,6.748296,3.43446
467610,NSPTRG00000047008,0.819202,0.805361,1.77552,1.23108,1.79457
737876,NSPTRG00000047025,0,0,0.213354,0.345176,0
465890,NSPTRG00000047030,0.144188,0.567006,1.78577,0.866732,1.06396
735860,NSPTRG00000047031,12.49421,9.6945,27.8094,21.02391,5.81984
744850,NSPTRG00000047037,2.877401913,4.618644,3.491107,1.47741,4.01422
735379,NSPTRG00000047039,0,0,0,0,0
100611156,NSPTRG00000047040,0.3263078,0.313666,4.110705,1.31568,2.66119
461052,NSPTRG00000047042,1.42543,1.0834585,7.45994,8.231722,9.319985
449503,NSPTRG00000047045,0,0.0538827,0.392621,0,0
742981,NSPTRG00000047046,2.3472,1.825123,8.27511,7.60584,0.7083
