,X,ens_gene,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,gene_id
760,769,ENSMUSG00000004892,0.139723002,0.0356132,0.322661,0.2610984,0.3506905,1.1165411,0.6295298,0.82222161,0.5721213,0.3513349,0.364992,0.137991,0.483311,0.373925,12032
761,770,ENSMUSG00000004894,0,0,0,0,0,0.0132137,0.0196492,0.114098,0.1224846,0.2860069,0,0,0,0,73940
762,771,ENSMUSG00000004895,4.18366,3.78156,4.46302,4.0754,12.4986,15.6459,13.9553,23.9785,23.5239,24.9058,12.0107,12.817,13.6937,14.9947,94315
763,772,ENSMUSG00000004896,1.991727155,1.054045,1.40832625,2.190120096,5.788612791,10.314009,10.57869544,12.8745196,13.25636524,14.01209,9.56979,14.978366,16.51554983,17.184088,229503
764,773,ENSMUSG00000004897,14.57131,20.04854,18.299282,17.68204,36.782233,35.152559,35.135321,84.379054,79.020251,81.874677,75.241309,66.428167,67.382731,64.12915,15191
765,774,ENSMUSG00000004902,0.0593733,0,0,0.115733,0.269766,0.214527,0.329821,0.458268,0.539282,0.332899,0.242187,0.404999,0.140864,0.422528,71803
766,775,ENSMUSG00000004929,3.146686,5.452125,3.162035,4.368148,6.284883,8.74228,8.9802366,15.197743,15.4239852,16.0971527,11.153987,11.365232,11.90624,12.412983,50492
767,776,ENSMUSG00000004931,4.710758,7.2149221,4.652747,5.953319,46.758304,71.611236,73.942713,84.578189,78.411881,88.807847,90.068553,107.795425,110.840514,114.834436,57267
768,777,ENSMUSG00000004933,0.456264,0.510674,0.152234,0.146957006,0.715020009,1.200864,1.044732,1.4372822,1.9517134,1.4748059,0.4352019,0.47453007,0.704695,0.830638967,17179
769,778,ENSMUSG00000004934,2.3651,1.86587,2.736877,2.205977,12.20014,15.664185,14.86869,30.778986,26.590188,26.945818,20.24805,17.433193,18.234205,18.31076,59004
770,779,ENSMUSG00000004936,6.291051,5.857327,6.366549,6.685845,16.308754,17.715639,17.658643,35.163059,33.460044,31.187968,22.398397,21.429357,27.021388,24.989726,26395
771,780,ENSMUSG00000004937,7.45346,11.740103,8.313241,10.451216,62.440067,91.543919,93.20645,130.12084,122.6588,134.355324,116.705195,131.746327,133.41584,127.341469,52551
772,781,ENSMUSG00000004939,0,0.0631698,0,0,9.41211,9.1654,8.8809,0.89118,0.864924,0.947433,0.0282277,0.0644619,0.113259,0.117561,69564
