"","ens_gene","Homo_sg_1","Homo_sg_2","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Homo_livr_1","Homo_livr_2","Homo_livr_3","gene_ids"
"12025","ENSG00000168702",0.532173,0.5997807,0.0978131,0.0437611,0.00649399,0.3426134,0.107765,0.843436,0.029853,0.06800162,0.00713563,53353
"12026","ENSG00000168703",0.224187,0.052946,0,0.357535,0,0.500854,0.192546,0,0,0,0,128488
"12027","ENSG00000168710",24.36318,18.03449,21.38284,35.28159,31.93273,139.6632,49.20163,136.7197,22.7015,7.36559,16.42857,10768
"12028","ENSG00000168724",13.41527,11.60057,23.13467,16.85843,13.2609,46.07762,6.782777,31.82701,19.21845,6.952199,9.926006,134218
"12029","ENSG00000168734",11.18044,12.46267,86.67956,130.1723,139.3163,89.05232,136.1513,73.26804,29.7081,12.29745,20.82421,11142
"12030","ENSG00000168743",5.677285,2.10196,3.67571,2.688917,2.352945,75.56895,16.90143,74.63948,0.8112417,0.2277138,1.252581,255743
"12031","ENSG00000168748",0.0370753,0.0305169,0,0,0,0.0606342,0.209789,0.1202797,0.198544,0,0,766
"12032","ENSG00000168754",0.1683926,0.2266164,1.559439,1.581403,1.623982,1.13936,1.033833,0.206222,1.042874,0.0875835,0.3164203,51252
"12033","ENSG00000168757",0,0,0,0.0936095,0,0,0,0,0,0,0,64591
"12034","ENSG00000168758",3.901921,4.780053,26.73531,29.54755,30.05071,12.3219,11.19878,8.316505,8.842427,3.648686,4.384321,54910
"12035","ENSG00000168763",5.916825,6.67059,8.561077,12.51676,9.90605,13.16363,16.80872,8.504449,22.93108,2.387739,9.734276,26505
"12036","ENSG00000168765",6.515542,10.43366,14.631,33.36699,29.23787,63.88562,68.56642,74.00979,12.65983,8.680293,30.17962,2948
"12037","ENSG00000168769",3.0118,1.456087,1.614216,1.262033,1.923511,1.77825,1.954975,3.193959,0.7911603,0.3262743,1.119272,54790
"12038","ENSG00000168772",3.570966,3.31117,0.650476,0.632876,0.694577,0.271061,0.124957,0.524981,0.88598,0.0811623,0.785063,80319
"12039","ENSG00000168778",5.198031,3.762061,1.860896,3.132235,3.27114,9.456761,14.81293,7.804975,0.647218,0.1313464,0.4646607,79867
"12040","ENSG00000168779",0.6370446,0.6326058,0.86833,0.1304108,0.43376,0,0,0.0282694,0,0,0.0143499,6474
"12041","ENSG00000168781",8.371914,4.707423,8.887455,8.474575,11.03587,16.88759,13.85786,15.15151,2.527318,1.206919,1.50654,9677
"12042","ENSG00000168785",4.272349,5.773495,0.7540002,1.289094,1.165324,4.281897,4.724488,6.728558,0.429099,0.2501614,0.9667398,10098
"12043","ENSG00000168792",1.96245,1.69679,2.47677,3.4898,3.04602,8.97529,10.3081,10.6511,12.0347,1.28331,10.2556,116236
"12044","ENSG00000168795",3.31995,1.85258,1.68408,2.37197,2.39002,3.02959,5.10958,5.12069,3.64011,1.56179,3.65156,9925
"12045","ENSG00000168802",15.13468,17.73838,22.00034,19.69275,24.21733,54.71564,96.19256,69.61224,38.17891,25.14327,51.15767,54921
