450356,NSPTRG00000002366
450359,NSPTRG00000002371
450361,NSPTRG00000002373
450362,NSPTRG00000002374
450363,NSPTRG00000024219
450364,NSPTRG00000002376
450366,NSPTRG00000002378
450367,NSPTRG00000002379
450368,NSPTRG00000002380
450371,NSPTRG00000002383
450372,NSPTRG00000002384
450373,NSPTRG00000002385
450376,NSPTRG00000002386
450377,NSPTRG00000002387
450378,NSPTRG00000002388
450382,NSPTRG00000049519
450384,NSPTRG00000002400
450387,NSPTRG00000002404
450389,NSPTRG00000002406
450390,NSPTRG00000002408
450393,NSPTRG00000002410
450396,NSPTRG00000002413
450397,NSPTRG00000002414
450398,NSPTRG00000002415
450400,NSPTRG00000002420
450402,NSPTRG00000002421
450407,NSPTRG00000046015
450416,NSPTRG00000002443
450423,NSPTRG00000002448
450425,NSPTRG00000002452
450427,NSPTRG00000048339
450428,NSPTRG00000002458
450431,NSPTRG00000002459
450440,NSPTRG00000002473
450441,NSPTRG00000047749
450445,NSPTRG00000002478
450447,NSPTRG00000045965
450451,NSPTRG00000002489
450453,NSPTRG00000002492
450454,NSPTRG00000031332
450455,NSPTRG00000002496
450456,NSPTRG00000002497
450460,NSPTRG00000002502
450461,NSPTRG00000002501
450465,NSPTRG00000002511
450468,NSPTRG00000048830
450469,NSPTRG00000002515
450471,NSPTRG00000002516
450473,NSPTRG00000002520
450475,NSPTRG00000002522
450476,NSPTRG00000002523
450478,NSPTRG00000002526
450481,NSPTRG00000002528
450482,NSPTRG00000002529
450483,NSPTRG00000002530
450488,NSPTRG00000002539
450489,NSPTRG00000002540
450495,NSPTRG00000002549
450496,NSPTRG00000002556
450497,NSPTRG00000002558
450498,NSPTRG00000002560
450499,NSPTRG00000002562
450500,NSPTRG00000002563
450502,NSPTRG00000024353
450503,NSPTRG00000002565
450504,NSPTRG00000002570
450505,NSPTRG00000002572
450506,NSPTRG00000023335
450507,NSPTRG00000002575
450508,NSPTRG00000002579
450509,NSPTRG00000002581
450511,NSPTRG00000002594
450512,NSPTRG00000002595
450513,NSPTRG00000002596
450516,NSPTRG00000002603
450517,NSPTRG00000023687
450518,NSPTRG00000002608
450519,NSPTRG00000002609
450520,NSPTRG00000002611
450525,NSPTRG00000002637
450526,NSPTRG00000024232
450527,NSPTRG00000034304
450531,NSPTRG00000002647
450532,NSPTRG00000024118
450534,NSPTRG00000002652
450539,NSPTRG00000029870
450542,NSPTRG00000002663
450543,NSPTRG00000002664
450545,NSPTRG00000002669
450547,NSPTRG00000002670
450551,NSPTRG00000002678
450553,NSPTRG00000002680
450555,NSPTRG00000002682
450556,NSPTRG00000002683
450557,NSPTRG00000002684
450558,NSPTRG00000002685
450562,NSPTRG00000002691
450564,NSPTRG00000002693
450566,NSPTRG00000002697
450568,NSPTRG00000002702
450572,NSPTRG00000002706
450573,NSPTRG00000002707
450574,NSPTRG00000002708
450576,NSPTRG00000002711
450579,NSPTRG00000002715
450580,NSPTRG00000002717
450581,NSPTRG00000002720
450583,NSPTRG00000002726
450584,NSPTRG00000002731
450585,NSPTRG00000002733
450587,NSPTRG00000042784
450588,NSPTRG00000002737
450590,NSPTRG00000002738
450592,NSPTRG00000022813
450593,NSPTRG00000002743
450596,NSPTRG00000041574
450604,NSPTRG00000002751
450607,NSPTRG00000024274
450608,NSPTRG00000002757
450609,NSPTRG00000002758
450612,NSPTRG00000002760
450613,NSPTRG00000002761
450614,NSPTRG00000002763
450616,NSPTRG00000002765
450617,NSPTRG00000002768
450618,NSPTRG00000002770
450619,NSPTRG00000002771
450620,NSPTRG00000002775
450621,NSPTRG00000002776
450623,NSPTRG00000002777
450624,NSPTRG00000002778
450627,NSPTRG00000002783
450628,NSPTRG00000002784
450629,NSPTRG00000002785
450631,NSPTRG00000002786
450636,NSPTRG00000002790
450639,NSPTRG00000043182
450641,NSPTRG00000002792
450643,NSPTRG00000022887
450644,NSPTRG00000002795
450645,NSPTRG00000002797
450646,NSPTRG00000002798
450647,NSPTRG00000002801
450649,NSPTRG00000002806
450650,NSPTRG00000002807
450651,NSPTRG00000002808
450652,NSPTRG00000002809
450653,NSPTRG00000002810
450655,NSPTRG00000002812
450656,NSPTRG00000002815
450657,NSPTRG00000051550
450660,NSPTRG00000002821
450661,NSPTRG00000002822
450663,NSPTRG00000002825
450664,NSPTRG00000002829
450666,NSPTRG00000002831
450668,NSPTRG00000002832
450671,NSPTRG00000049744
450673,NSPTRG00000033948
450674,NSPTRG00000002843
450676,NSPTRG00000002847
450679,NSPTRG00000052672
450680,NSPTRG00000002858
450682,NSPTRG00000002862
450683,NSPTRG00000002864
450684,NSPTRG00000002865
450685,NSPTRG00000002869
450687,NSPTRG00000002870
450690,NSPTRG00000002875
450691,NSPTRG00000002876
450693,NSPTRG00000002879
450694,NSPTRG00000023411
450696,NSPTRG00000002883
450697,NSPTRG00000002888
450698,NSPTRG00000002893
450699,NSPTRG00000002895
450702,NSPTRG00000002902
450703,NSPTRG00000033989
450705,NSPTRG00000002904
450706,NSPTRG00000002905
450709,NSPTRG00000002907
450710,NSPTRG00000002908
450711,NSPTRG00000002911
450714,NSPTRG00000047766
450715,NSPTRG00000002919
450716,NSPTRG00000002920
450718,NSPTRG00000002924
450719,NSPTRG00000002925
450720,NSPTRG00000002926
450721,NSPTRG00000049544
450722,NSPTRG00000002928
450723,NSPTRG00000052782
450725,NSPTRG00000002931
450726,NSPTRG00000002934
450727,NSPTRG00000029733
450728,NSPTRG00000002935
450730,NSPTRG00000002937
450731,NSPTRG00000002939
450732,NSPTRG00000029726
450735,NSPTRG00000002940
450736,NSPTRG00000034485
450738,NSPTRG00000002943
450739,NSPTRG00000002946
450740,NSPTRG00000002947
450743,NSPTRG00000002949
450744,NSPTRG00000002950
450745,NSPTRG00000002952
450746,NSPTRG00000002953
450747,NSPTRG00000022767
450748,NSPTRG00000002955
450749,NSPTRG00000002957
450750,NSPTRG00000002959
450751,NSPTRG00000002960
450753,NSPTRG00000002961
450754,NSPTRG00000002963
450755,NSPTRG00000002965
450756,NSPTRG00000002966
450759,NSPTRG00000050694
450760,NSPTRG00000002974
450766,NSPTRG00000002980
450770,NSPTRG00000002984
450771,NSPTRG00000002986
450778,NSPTRG00000002998
450780,NSPTRG00000022873
450781,NSPTRG00000003000
450782,NSPTRG00000003001
450784,NSPTRG00000003004
450786,NSPTRG00000003005
450790,NSPTRG00000003010
450791,NSPTRG00000051999
450792,NSPTRG00000003011
450796,NSPTRG00000029673
450798,NSPTRG00000046925
450799,NSPTRG00000047334
450800,NSPTRG00000044868
450801,NSPTRG00000003027
450803,NSPTRG00000003028
450804,NSPTRG00000003030
450807,NSPTRG00000032571
450809,NSPTRG00000003034
450810,NSPTRG00000003035
450813,NSPTRG00000003042
450818,NSPTRG00000003046
450820,NSPTRG00000003047
450828,NSPTRG00000003060
450829,NSPTRG00000003063
450831,NSPTRG00000003067
450833,NSPTRG00000003073
450835,NSPTRG00000003074
450836,NSPTRG00000003075
450837,NSPTRG00000029653
450851,NSPTRG00000003091
450853,NSPTRG00000003093
450857,NSPTRG00000003099
450860,NSPTRG00000002855
450865,NSPTRG00000003054
450866,NSPTRG00000003055
450874,NSPTRG00000002392
450875,NSPTRG00000033794
450884,NSPTRG00000002263
450887,NSPTRG00000002613
450891,NSPTRG00000002619
450892,NSPTRG00000050762
450894,NSPTRG00000002627
450896,NSPTRG00000002628
450898,NSPTRG00000002631
450899,NSPTRG00000002632
450900,NSPTRG00000002634
450902,NSPTRG00000002649
450906,NSPTRG00000002695
450909,NSPTRG00000002781
450910,NSPTRG00000003103
450911,NSPTRG00000045471
450913,NSPTRG00000003106
450915,NSPTRG00000028772
450916,NSPTRG00000003110
450920,NSPTRG00000003113
450921,NSPTRG00000049947
450924,NSPTRG00000003120
450926,NSPTRG00000003125
450927,NSPTRG00000003126
450928,NSPTRG00000051030
450931,NSPTRG00000003130
450932,NSPTRG00000047139
450933,NSPTRG00000003132
450935,NSPTRG00000049480
450936,NSPTRG00000003137
450937,NSPTRG00000003138
450938,NSPTRG00000003142
450943,NSPTRG00000043986
450950,NSPTRG00000033746
450955,NSPTRG00000003173
450957,NSPTRG00000045076
450959,NSPTRG00000003184
