ens_gene,Canis_sg_1,Canis_sg_2,Canis_hrt_1,Canis_hrt_2,Canis_hrt_3,Canis_kidn_1,Canis_kidn_2,Canis_kidn_3,Canis_livr_1,Canis_livr_2,Canis_livr_3,gene_ids
ENSCAFG00000011008,0.119467,0.139647,0.5313966,1.138974,0.2082786,0.0585,0.0441299,0.134315,0,0.113293,0.296005,608098
ENSCAFG00000011011,0.313522,0.39035,0.0719575,0.182219,0.566602,0,0.185583,0.375945,0,0,0.0445489,489305
ENSCAFG00000011012,0.506569,1.22472,0.811903,1.33997,2.316006,12.164516,11.045636,34.281654,79.04303,92.993762,54.891756,100686158
ENSCAFG00000011014,73.7748,60.1615,15.0195,18.1644,70.9016,28.7774,73.2766,49.8078,64.1869,54.4295,20.5302,487893
ENSCAFG00000011015,62.4956581,35.28052752,0.852908,1.920783,2.130882905,8.5597432,13.18318002,8.2800995,46.3156332,36.822243,18.1101348,478862
ENSCAFG00000011016,0,0,0.0717021,0.2049,0.382814,11.0509,2.3093,0.148352,433.542,618.35,455.308,477822
ENSCAFG00000011018,6.75114,1.56453,0,3.48085,0,2.03567,0.397604,0.219457,0,0,3.9351,610887
ENSCAFG00000011022,1.51259,0.738674,4.04159,6.94082,5.1884,1.06928,4.37942,14.2835,0,0,0.507907,489306
ENSCAFG00000011023,0,0,0.0377688,0.0766268,0,0.180877,0.0487418,0.0246429,0,0,0.0469014,100684484
ENSCAFG00000011029,281.493,676.605,993.35,557.539,1870.95,188.319,654.237,468.549,547.107,108.261,94.6242,503668
ENSCAFG00000011030,0.192202,36.4132,2.9014656,5.8979,12.357664,16.920001,0.0199528,17.369,0,0.0552639,14.051,480233
ENSCAFG00000011031,0,0,0,0.452452,0,0.0880807,0.0397975,0,0,0,0.113958,477662
ENSCAFG00000011034,0.523071,1.06199,0.135583,0.308066,1.35987,0.359281,0.774886,0.451906,0.378952,0.13856,0.585674,491709
ENSCAFG00000011037,195.4604,109.6852,31.4633,39.3236,125.9326,80.0318,183.8171,162.3082,147.6926,133.1235,42.2562,608445
ENSCAFG00000011039,1.56923,3.15172,0.333161,1.5457,1.346424,12.024751,28.64722401,7.2437575,12.8217,8.721143152,4.966162,403770
ENSCAFG00000011040,13.4601,18.317989,0.739599,1.107232,5.003630217,15.28882,17.88962,5.8105,21.02245,0,15.2538,100856497
ENSCAFG00000011041,0,0,0.0236327,0.2776975,0,0.329414,0,1.677813,0,0,1.001267,609266
ENSCAFG00000011043,0,0,0,0,0,0,0,0,0,0,0,100683523
ENSCAFG00000011044,219.601224,237.579308,24.6395,30.17181,140.2221,72.13783,279.75268,126.12924,102.904227,47.689906,32.75438,609549
ENSCAFG00000011045,0.3639456,0.7182539,0.140449,0.601804,1.045598,1.164146,2.407957,1.0055067,0.0407521,0.1428597,0.1953227,106557450
ENSCAFG00000011046,6.7232,7.13041,1.102244,4.58826,7.115870001,4.25609,6.56272,3.05903463,2.30912,3.70897,2.85029,483154
ENSCAFG00000011053,0,0,0.0221977,0,0,0,0,0.0288681,0,0,0.111461,491711
ENSCAFG00000011056,0.0960647,6.444791,4.719256,11.99216,17.77066,52.44733,0.2481473,20.883135,0.0509124,0.0890985,28.744902,490591
ENSCAFG00000011057,0.270623,0.449267,0.247884,0.406349,0.388954,0.147078,1.321156,0.365181,0.240665008,0.1869792,0.4801456,608724
ENSCAFG00000011059,8.203231,3.749916014,7.197167,11.99734,8.43981,36.06247,8.84059,11.5432301,15.46487,31.11273,25.25831,475822
ENSCAFG00000011063,45.08434721,39.40119369,0.088643576,0.466096042,0.103651996,10.91923922,15.31167518,30.34968,4.70767553,2.411928375,7.64902,100855498
ENSCAFG00000011065,1.18517,1.3778,0.178516,0.51364,1.65358,0.501763,2.925,0.692643185,1.0664,0.974149,1.2745973,478863
ENSCAFG00000011068,0,0.705529,0,0,0.865225,0.255565,0.577571,0,0,0.228603,0.0952281,100855955
ENSCAFG00000011069,7.68205,3.86897,13.431,23.1664,32.6827,3.16865,23.715,22.2351,0.84879,0.918967,0.687388,483155
ENSCAFG00000011070,0,0,0.514446,1.18261,2.48412,14.7437,0,6.55132,0,0,0.909734,480460
ENSCAFG00000011071,0,0,0,0,0,0.0964382,0,0.0220599,0,0,0,483156
ENSCAFG00000011072,22.7454056,12.2961739,3.5447259,8.6109083,25.567241,12.7424228,24.6874241,8.7155514,47.923656,0.160594,46.2957554,488956
ENSCAFG00000011075,0,0,6.03289,23.6507,0,10.5827,0,11.7909,0,0,20.4427,491715
ENSCAFG00000011077,1.98454,2.08305,0.395032,2.3047,1.7251,3.55584,3.63819,3.92901,1.11495,0.880075,0.819388,487809
ENSCAFG00000011081,2.85133,1.50664,0.166199,1.82785,1.6586,2.69389,6.45247,1.58345,2.58257,2.33226,2.33541,100855542
ENSCAFG00000011082,0.0145338,6.65081,0.742895,3.606333983,5.91805486,4.049198,0,4.3065919,0,0,1.556645508,490247
ENSCAFG00000011083,169.6132,281.457,528.3468,734.5882,1087.4216,334.9503,398.1906,243.4105,211.2089,285.8344,187.8367,610413
ENSCAFG00000011086,0,0,0.114982,0.27657,0.358748,6.35217,0,0.529174,0,0,0.33465,490900
ENSCAFG00000011087,2.65769,1.37843,2.59732,5.44488,94.8404,0.828696,12.2521,2.7796,0,0.164482,0,478502
ENSCAFG00000011088,0,0,0,0.42371,0,0.12025,0,0,0,0,0.0520303,610110
ENSCAFG00000011089,3.34726,0.71674,0.00806248,0.0751778,0.0750923,0.252766001,1.376541,1.0765,0,0.0569792,0.0193436,486624
ENSCAFG00000011091,0.130656,0.338824,4.34068,12.2297,0.123415,3.21301,0,18.342,0,0.102925,7.10644,609839
ENSCAFG00000011096,0,0,0,0,0,0,0,0,0,0,0,106559090
ENSCAFG00000011098,0,0.2327805,0,0.152722,0.553327,0.19439902,0,0.331044,0,0,2.030892,102155496
ENSCAFG00000011099,0.181912,0.487003,50.525638,83.7018,149.54953,118.3071,0.438325,89.761347,0.207674,0.326873,43.9007,480461
ENSCAFG00000011100,0.0363451,0.2332612,0,0,0,0,0,0.07220644,0,0,0,488292
ENSCAFG00000011101,2.441309,1.19225,0.461767,1.609366,0.90225,43.49398,24.20138,3.462528,4.28638,0,0.735304,479194
ENSCAFG00000011103,0.0480882,0.0307441,219.6495429,375.737692,422.9892112,2.079455928,0.483058,0.1507355,28.87592412,54.68270021,40.42620042,477823
