ens_gene,Xeno_hrt_1,Xeno_hrt_2,Xeno_hrt_3,Xeno_kidn_1,Xeno_kidn_2,Xeno_kidn_3,Xeno_livr_1,Xeno_livr_2,Xeno_livr_3,gene_ids
ENSXETG00000000568,307.781,171.273,270.056,369.091,339.19,323.848,303.134,210.086,187.078,548919
ENSXETG00000000569,0.356655,0.0565871,0.621522,1.0665676,0.490234,1.996501,1.178767,0.915154,0.362737,100489887
ENSXETG00000000570,5.6668,4.99244,5.75266,3.53293,4.27762,4.97216,1.2167511,2.592631,2.56422,100144744
ENSXETG00000000571,140.4794,283.05652,322.7979,125.7145,131.7857,129.8406,43.49702517,67.1475,64.41036,595075
ENSXETG00000000572,7.38642,8.79841,23.3662,6.17408,8.12185,5.84044,0.842368,33.0277,15.4746,779858
ENSXETG00000000573,11.4074,6.25005,8.10387,10.3805,12.9187,12.7181,5.40923,4.8681,8.4466,100038169
ENSXETG00000000574,1.17222,0.61651,0.135252,0.657204,0.929491,1.5851,9.55422,7.56057,22.4732,100497154
ENSXETG00000000575,87.7838,1.69569,0.34079,0,0,0,0,0,0,101734494
ENSXETG00000000576,1.57988,0.084973517,0,6.03888073,15.8616,5.46192062,0,0.484126282,0.101028014,100496703
ENSXETG00000000577,67.53279002,9.442855,13.03194243,21.16453685,25.90020188,30.6064591,1.93592046,3.728602577,3.993730469,100145245
ENSXETG00000000578,25.976,64.4259,37.0122,37.4681,46.3429,29.7038,48.7976,19.015,13.1251,100170577
ENSXETG00000000579,2.47784,0,5.17268,18.2469,13.7135,11.6679,0.436232,17.8609,10.1207,101730635
ENSXETG00000000583,0,0,0,0,0.149302,0,0,0,0,100496818
ENSXETG00000000584,0,0,0,0.0846878,0.0361162,0.110517,0.612279,0.0968584,0,100490060
ENSXETG00000000585,38.476,17.3278,25.2397,61.2488,58.3134,59.0201,22.8323,57.4802,44.2648,549822
ENSXETG00000000589,1.798160148,17.1327,37.68460975,1.050505656,1.121824337,0.967141421,0.295603,0.520101958,0.339555,100490912
ENSXETG00000000590,4.500483155,2.242177208,2.895414998,3.907007431,5.000086582,4.9662295,0.787186559,1.489924,1.503644017,100036641
ENSXETG00000000594,11.5328,0.478441,0.757543,5.43243,13.0991,8.29104,10.2622,19.1576,22.2209,549317
ENSXETG00000000596,7.85764,4.79082,5.73045,8.53396,11.6686,10.8201,5.11575,10.3016,7.94676,779859
ENSXETG00000000597,22.4363,9.67154,10.292,20.4815,26.0646,21.3558,11.6207,17.1819,17.2851,100486687
ENSXETG00000000598,0,0,0.0635412,0.275942,0.218444,0.0841494,0,0.057755302,0,100379721
ENSXETG00000000600,8.44357,2.69851,5.86452,9.38049,6.50199,18.5523,0.0579995,0.853641,0.213766,100127869
ENSXETG00000000601,12.898883,3.050095,4.935985,6.3636794,11.6691231,10.52999664,0.911506,2.310425109,1.58059149,100125045
ENSXETG00000000602,8.77015,19.0093,48.5216,9.46429,5.95541,8.29123,1.07747,3.46187,3.63771,100486009
ENSXETG00000000603,0.718607,0.416538,0.206488,1.06606,2.79587,0.241997,0,0.0175956,0.0146874,100494209
ENSXETG00000000605,12.2367476,14.12094,24.02363,23.75099,18.01525,21.47166,7.2274934,12.90317,17.12236,394715
ENSXETG00000000606,5.53895,0.789493,0.6065502,1.4734145,1.264826502,1.692692764,0.584971,1.019332,1.535539,100125213
