ens_gene,Anole_hrt_1,Anole_hrt_2,Anole_hrt_3,Anole_hrt_4,Anole_kidn_1,Anole_kidn_2,Anole_kidn_3,Anole_kidn_4,Anole_livr_1,Anole_livr_2,Anole_livr_3,gene_ids
ENSACAG00000012392,12.964,25.2329,20.7106,11.876,12.2815,21.4205,25.2072,15.8805,18.4309,14.879,17.5722,100567099
ENSACAG00000012393,6.24678,14.5005,11.0168,11.2204,9.99063,16.3897,16.9294,19.2649,11.0745,9.59263,10.7742,100552839
ENSACAG00000012394,0.560438,2.48482,0.471855,0.572026,0.815394,0.433981,1.28134,0.443802,0.281773,0.133014,0.171412,100551556
ENSACAG00000012396,27.0429,100.456,76.6372,34.2665,32.8992,82.4946,91.0259,45.2063,65.8222,49.0752,31.1054,100566695
ENSACAG00000012397,0.0938145,0.243621,4.08909,0.172925,0,0,0,0,0,0,0,100337539
ENSACAG00000012399,29.2336,36.7498,41.0559,29.9382,28.7199,46.2112,33.1232,31.4772,30.5558,34.9634,31.5137,100560143
ENSACAG00000012400,6.17783,15.5903,12.3261,4.44055,10.1588,19.1227,22.1944,7.21844,19.5821,23.6016,6.20966,100561235
ENSACAG00000012401,3.08845,5.7339,4.94432,1.22099,0,0.0673698,0,0.0688944,0,0,0,100559481
ENSACAG00000012403,31.2858,30.7953,38.0793,17.5692,28.4184,32.8397,33.4945,12.8793,8.35789,12.2628,5.05002,100563341
ENSACAG00000012404,2.62906,6.72143,4.25776,3.47024,5.08098,3.35123,6.08049,2.33577,3.73788,3.44294,2.29236,100559279
ENSACAG00000012406,12.6967,21.3713,22.7962,9.82267,16.9313,49.1982,35.4698,21.9257,29.8746,27.5766,12.2868,100564778
ENSACAG00000012407,0.0839384,0.0714024,0.140172,0.126692,0.173698,0.555244,0.536632,0.283105,0.34979,0.0945464,0.0607441,100567016
ENSACAG00000012408,5.66747,12.3055,12.0617,2.62038,8.53194,13.4301,19.8761,7.10797,13.9594,7.94374,2.55922,100559281
ENSACAG00000012409,245.936,192.631,174.166,281.762,200.852,209.721,152.091,298.521,100.275,109.299,187.976,100556811
ENSACAG00000012410,2.21856,2.56856,2.47174,2.7176,3.99238,5.14338,4.24234,3.45941,4.2376,4.20834,2.12993,100551757
ENSACAG00000012411,0.136235,0.106964,0.0613563,0.0303669,1.33001,1.09358,1.04765,0.368816,0.968131,0.155189,0,100554621
ENSACAG00000012412,14.8034,32.0614,16.6243,17.2412,16.5005,41.0713,48.3992,21.8711,10.9623,9.54354,3.8125,100559942
ENSACAG00000012413,0.045067,0.189017,0.0534275,0.53435,0.427578,2.03857,1.82096,0.491025,0.0410205,0.0129094,0.016636,100557318
ENSACAG00000012414,11.1624,18.0896,17.6745,8.75347,16.5806,30.0687,32.3141,20.3085,22.8321,18.4663,9.76529,100565591
ENSACAG00000012415,12.4471,30.1025,27.2095,5.25381,1.61047,3.88455,4.24269,2.40685,2.73285,2.49652,0.672963,100567447
ENSACAG00000012416,0,0.101151,0.0296125,0,0.078784,0.359511,0.172316,0.0668448,0.0530504,0.200344,0,100555413
ENSACAG00000012417,17.6995,21.0363,16.9421,19.1571,62.7756,136.581,76.6697,58.0203,140.442,80.9475,26.5394,100561441
ENSACAG00000012418,3.41924,5.87528,4.79008,2.21972,2.82978,5.23475,7.04749,3.29789,5.60215,7.27977,2.00109,100568069
ENSACAG00000012419,0.401167,1.57633,0.969104,1.55246,4.41692,12.9878,6.39113,2.34383,0.661384,0.23416,0.352048,100564908
ENSACAG00000012420,74.2071,17.3621,36.5966,3.08095,79.5366,44.8788,15.7745,11.4736,19.4258,29.803,3.69292,100551892
ENSACAG00000012421,22.36,35.7562,11.8026,39.6031,98.2416,145.15,107.925,114.498,11.0755,9.03074,8.26886,100556109
ENSACAG00000012423,1.162755,16.4105,16.39976,2.561484,5.760545,10.03353,9.93828,1.36735,2.426019,3.15862,1.016725,100551799
ENSACAG00000012424,2.9148,5.2727,6.03425,1.71177,6.2387,9.53729,7.60916,6.3183,3.22094,5.33307,2.85388,100561293
ENSACAG00000012426,1.11258,2.37935,2.74877,1.59481,3.62095,9.80606,8.5351,6.72173,3.25021,5.3757,2.27744,100564389
ENSACAG00000012427,0.162189,0.457419,0.357098,0.121755,0.306184,0.394122,0.571438,0.15114,0,0.0754984,0,100559679
ENSACAG00000012428,0.0313752,0.260895,0.027774,0.0252526,0.148408,1.01157,0.258587,0.250778,0,0.0469763,0.0302685,100563749
ENSACAG00000012430,3.3638,8.32857,7.28972,4.41312,2.10001,5.42414,5.195,4.18593,3.28814,3.27774,5.01805,100560290
ENSACAG00000012433,65.6755,39.3216,29.8881,22.1564,44.2182,19.6764,28.9544,20.2151,17.403,12.6497,16.9028,100555002
ENSACAG00000012434,3.44282,4.95283,4.2049,3.03217,1.2214,8.32156,5.23117,3.60033,6.23421,4.65964,1.73822,100567361
ENSACAG00000012437,6.1318,15.8065,6.79443,7.22317,18.5572,23.7733,20.9062,25.4974,2.03011,8.87415,4.13117,100555323
ENSACAG00000012439,1.73871,3.73078,2.46367,1.41157,2.70739,3.64271,3.00366,1.92994,4.64257,4.13883,2.81305,100559348
ENSACAG00000012440,2.51562,4.01399,8.51959,0.801328,1.99248,8.43019,5.47042,0.663151,4.2104,4.96891,1.28066,100564660
ENSACAG00000012441,92.9744,51.5321,51.8603,46.9,63.1094,45.045,35.8208,43.782,49.0055,39.709,36.9516,100559966
ENSACAG00000012443,0,0.0909309,0.0317595,0.0288763,0.280279,0.0350523,0,0.0716911,0.227586,0.660371,0.0692239,100552256
ENSACAG00000012444,2.9223,5.43577,3.26769,2.09519,2.21508,0.542016,1.18705,1.54306,0.0338383,0.159737,0.0205849,100559877
ENSACAG00000012445,14.2996,12.0989,10.1502,6.4217,16.3667,17.3641,13.4372,10.1196,8.56162,6.79562,7.78941,100563244
ENSACAG00000012446,1.53088,3.72863,3.50168,2.94796,3.40239,8.73146,12.6954,4.61903,9.42272,7.58005,3.87901,100565833
ENSACAG00000012447,2.61805,10.394,9.17369,2.39869,4.07774,19.257,16.0495,5.4815,19.5496,23.7306,6.07699,100560898
ENSACAG00000012448,0.807166,0.799181,0.103984,1.32362,0.709497,0.573826,0.605085,0.352087,0,0.351753,0.113323,100555719
ENSACAG00000012449,6.09509,6.62113,6.8413,3.45569,16.1238,23.9942,19.2856,13.2123,7.89836,10.7998,7.12439,100564192
ENSACAG00000012450,3.60874,17.477,9.39178,8.35428,3.28043,18.1193,21.301,13.5423,11.9896,13.0395,7.43471,100552393
ENSACAG00000012451,3.2086,8.55021,4.26552,3.13514,2.69794,5.91995,7.13421,2.59454,6.40613,4.27692,2.14338,100556705
ENSACAG00000012452,44.7187,39.6081,40.2581,42.326,145.952,195.189,428.404,147.256,168.216,180.012,87.5625,100561879
ENSACAG00000012454,0.103567,0.685562,0.432281,0.280741,0.0510222,0.272629,0,0,0,0.128358,0,100337606
ENSACAG00000012456,22.9841,52.754,37.8823,13.4297,32.0959,125.43,105.972,25.3987,404.08,191.779,64.2944,100555069
ENSACAG00000012457,6.95451,9.89642,13.2373,4.1557,1.09694,2.39821,1.88937,0.958442,0.223721,0.295708,0.0272194,100556034
ENSACAG00000012459,0.800483,2.98396,1.89287,1.6927,0.690593,3.81438,3.22029,0.521329,0.224274,0.650452,0,100567780
ENSACAG00000012460,0.228897,12.629,0.571913,5.7198,37.3323,164.606,165.132,130.922,144.643,58.3061,18.2066,100552736
ENSACAG00000012464,0.446086,0.63726,0.213213,0.387714,0.160819,0.235319,0.496276,0.721933,0,0.37848,0.580907,100566451
ENSACAG00000012466,2.0078,2.68033,3.3349,0.356724,18.2992,32.2599,45.889,23.6908,8.43446,9.29035,6.84126,100552020
ENSACAG00000012467,10.5533,9.04173,10.0249,7.42344,20.4619,15.2652,13.3276,16.6114,8.56078,7.87738,6.97193,100560093
ENSACAG00000012468,6.94576,16.2476,17.0979,9.98811,11.9198,25.431,23.3949,20.3876,13.3906,16.7607,8.76304,100551693
ENSACAG00000012469,4.35232,6.85062,7.52854,4.26415,7.18957,16.0052,13.6453,9.54187,10.1707,9.08052,2.48832,100567213
ENSACAG00000012470,12.1728,31.5997,27.7016,17.351,5.46102,20.8355,16.3983,12.4291,43.3777,47.5481,21.8409,100555099
ENSACAG00000012471,0.0722395,0.0995131,0.0408224,0.0413265,0,0.315669,0.232184,0,0,0,0,100555465
