ens_gene,Gal_hrt_1,Gal_hrt_2,Gal_hrt_3,Gal_kidn_1,Gal_kidn_2,Gal_kidn_3,Gal_livr_1,Gal_livr_2,Gal_livr_3,gene_ids
ENSGALG00000038433,56.5975,132.9743,68.00017,0.577646,0.9455778,2.333463,0.3945076,3.209554,1.621117,422905
ENSGALG00000038458,161.3999,72.88198,71.0871,7.7841,3.294871,4.977476,0.784802,1.222928,0.4426781,426411
ENSGALG00000038461,8.73252,5.70336,11.8209,14.1637,10.9901,16.0488,6.3487,5.59229,8.11488,374020
ENSGALG00000038469,3.99859,1.6037,5.76495,3.5979,2.3573,3.0169,2.95266,1.31711,2.97981,420375
ENSGALG00000038476,0,0,0,0,0,0,0,0,0,107053098
ENSGALG00000038478,0,0,0,0.537166,0,0,0,0,0,101747731
ENSGALG00000038488,17.71543,9.191041,9.888859,16.95001,9.707756,8.851861,12.7612,5.357852,6.02467,769918
ENSGALG00000038494,9.37209,11.68265,11.45785,49.95413,34.3491,33.7252,26.7309,18.92662,25.12369,425774
ENSGALG00000038502,1.54782,2.13609,4.01648,0.828227,2.44723,2.84943,1.72835,3.13961,1.14363,416749
ENSGALG00000038504,5.82743,10.78058,7.086178,3.755928,7.80584,9.078429,0.932523,1.267866,2.549701,373920
ENSGALG00000038512,6.15276,4.72612,1.73703,0.227032,1.77837,0.642711,0.306395,0.347401,0.733558,396065
ENSGALG00000038515,33.6206,23.1744,16.6073,14.836,6.87623,17.9357,8.2186,5.24529,5.19545,395790
ENSGALG00000038520,30.35854,22.29609,41.1199,1.695301,6.52839,5.38698,0.3184492,0.395067,0.397243,416676
ENSGALG00000038527,5.57368,3.1957,3.61153,11.7908,5.2942,9.2888,7.91798,5.00807,7.70339,101749117
ENSGALG00000038528,32.6603,47.3819,39.6063,41.8933,96.1846,82.881,30.8148,50.8674,28.117,100859609
ENSGALG00000038529,2.14107,2.2246,0.632238,2.50633,0.887138,0.693364,2.65837,0.903487,0.436062,100858410
ENSGALG00000038536,119.3941,86.7606,65.5462,74.026,52.09474,73.6467,38.1817,34.6625,27.0431,768795
ENSGALG00000038540,95.7719,9.84721,15.7893,31.4347,1.67723,3.44291,26.0044,2.89028,13.2344,419759
ENSGALG00000038541,29.9692,16.15322,16.28932,43.7553,20.04916,24.9452,22.0199,12.38734,10.73185,423023
ENSGALG00000038543,0.0915597,0.0519867,0.202454,0,0.0683635,0,0,0.0317173,0.0191352,424184
ENSGALG00000038549,0.39229,0.919063,1.889,0.977702,3.58799,1.11662,0.6085,2.24874,0.845718,106780805
ENSGALG00000038559,3.937377,5.835596,2.48405,7.110116,6.068654,7.617379,8.746439,5.131585,4.383583,403158
ENSGALG00000038576,0.11466,0.0706183,0.0611138,0.635298,0.0386935,0.132848,1.04191,0.107711,0.216609,100857510
ENSGALG00000038582,4.98172,3.09759,2.50366,11.3985,6.93629,6.83875,6.47534,2.87044,3.59257,770250
ENSGALG00000038585,12.7669,15.6826,16.8919,31.2404,28.2272,24.8761,16.3332,14.4249,14.3018,422622
ENSGALG00000038589,40.7185,16.9013,16.6246,794.842,211.515,237.643,387.733,180.187,126.344,107056877
ENSGALG00000038595,23.9974,7.88392,8.94994,36.6272,9.24944,9.3641,19.5312,5.51737,5.1779,426289
ENSGALG00000038596,1.58273,0.686023,0.356215,0.252869,0.3383,0.129056,0.100684,0,0.126255,101749230
ENSGALG00000038598,16.4774,10.2152,11.6686,42.1683,18.8074,22.5889,16.035,9.45544,10.1689,107050474
ENSGALG00000038599,7.85924,5.31545,8.77509,175.976,97.5598,110.701,44.738,32.562,45.3504,417989
ENSGALG00000038604,163.429,177.6,177.316,299.223,156.983,160.791,101.202,85.2868,97.9256,419980
ENSGALG00000038608,3.69227,3.36429,4.75543,32.913,21.7109,23.9093,25.4203,13.7598,22.7943,424654
ENSGALG00000038618,0,0.0219826,0.313896,0,0,0.082708,6.58589,3.82233,3.56018,107054176
ENSGALG00000038624,3.06479,1.77212,1.15021,4.91654,2.70489,4.93256,2.65069,2.50987,2.09661,100859224
ENSGALG00000038627,9.73983,11.2241,11.4745,8.66593,18.7526,13.4589,7.02955,9.0163,7.93058,426699
ENSGALG00000038629,1.43332,0.287828,1.49454,1.73979,0.315417,1.26342,0.760314,0.292676,0.176572,395831
ENSGALG00000038634,2.09639,1.42136,1.55732,1.35727,4.97288,5.31097,0.0532895,0.248618,0.0839955,378783
ENSGALG00000038635,71.7069,94.3906,75.52188,213.795,347.1555,276.3553,99.13918,170.9471,130.8645,770011
ENSGALG00000038636,34.43655,49.8206,28.6246,16.79905,24.475,50.593,66.14025,77.0503,94.3917,419552
ENSGALG00000038646,22.5742,19.3242,27.188,16.7615,21.0655,23.8906,15.1125,10.8102,14.1617,420715
ENSGALG00000038649,1.989964,2.038411,5.5465,1.142417,1.772194,2.131582,1.104043,1.422367,3.19931,418504
ENSGALG00000038652,8.91931,36.37716,26.57982,166.7563,345.8141,284.8784,236.5636,1316.026,668.3503,395611
